customer_tweet_id,customer_text,customer_text_raw,brand_reply_text,brand_reply_raw,full_thread,created_at
498536,"Si quieres cambiar cualquier detalle de tu pedido, puedes hacerlo desde ""Mi cuenta"" y ya entrar en pedidos, pagos, etc.","Si quieres cambiar cualquier detalle de tu pedido, puedes hacerlo desde ""Mi cuenta"" y ya entrar en pedidos, pagos, etc.","@234004 Hola Pendri, puedes comunicarte con nuestros compañeros de Servicio al Cliente para que ellos puedan levantar una reclamación a tu nombre con respecto a lo sucedido. Para hacerlo sigue el enlace a continuación: https://t.co/OjvUxwnzPe. ^RC","@234004 Hola Pendri, puedes comunicarte con nuestros compañeros de Servicio al Cliente para que ellos puedan levantar una reclamación a tu nombre con respecto a lo sucedido. Para hacerlo sigue el enlace a continuación: https://t.co/OjvUxwnzPe. ^RC","[('customer', 'Si quieres cambiar cualquier detalle de tu pedido, puedes hacerlo desde ""Mi cuenta"" y ya entrar en pedidos, pagos, etc.'), ('customer', '@116928 Como se puede solicitar que no me haga entregas, tourline simpre que me envian algo con ellos tengo problemas, no llega a tiempo y mienten diciendo que no habia nadie en el domicilio, cuando es mentira.'), ('brand', '@234004 Hola Pendri, puedes comunicarte con nuestros compañeros de Servicio al Cliente para que ellos puedan levantar una reclamación a tu nombre con respecto a lo sucedido. Para hacerlo sigue el enlace a continuación: https://t.co/OjvUxwnzPe. ^RC')]",2011-10-13 11:57:18+00:00
1489160,"Para nuestro servicio de atención al cliente: http://t.co/K9zglZw4 Y haced clic en ""Contacto"", a la derecha de la pantalla","Para nuestro servicio de atención al cliente: http://t.co/K9zglZw4 Y haced clic en ""Contacto"", a la derecha de la pantalla","@465878 Hola, lamentamos esto. Puedes contactar a nuestro SAC para que se verifique lo ocurrido: https://t.co/OjvUxwnzPe ^AV","@465878 Hola, lamentamos esto. Puedes contactar a nuestro SAC para que se verifique lo ocurrido: https://t.co/OjvUxwnzPe ^AV","[('customer', 'Para nuestro servicio de atención al cliente: http://t.co/K9zglZw4 Y haced clic en ""Contacto"", a la derecha de la pantalla'), ('customer', '@116928 Si un pedido tiene entrega garantizada para una fecha y justo cuando llega el día te avisan de que se retrasa como se reclama'), ('brand', '@465878 Hola, lamentamos esto. Puedes contactar a nuestro SAC para que se verifique lo ocurrido: https://t.co/OjvUxwnzPe ^AV'), ('customer', '@116928 Al final no te dan solución'), ('brand', '@789285 Hola Alfredo, sin compartir información sensible de tu cuenta como números de pedido, puedes indicarnos ¿cómo podemos ayudarte? ^MZ'), ('customer', 'Tengo abiertas reclamaciones y no me dais respuesta.'), ('brand', '@789285 ¿Podrías comentarnos más sobre lo que ha ocurrido sin publicar detalles de tu cuenta? ^DA')]",2011-10-24 10:31:08+00:00
2937390,¿Qué os parece el nuevo Samsung Galaxy S5? En Amazon ya lo tenemos en preventa. http://t.co/Bz3LiREHRF,¿Qué os parece el nuevo Samsung Galaxy S5? En Amazon ya lo tenemos en preventa. http://t.co/Bz3LiREHRF,@811646 Sentimos los inconvenientes que esto te pudiera haber ocasionado. ¿Nos podrías indicar si el producto es vendido por Amazon o por uno de nuestros vendedores externos? ^KA,@811646 Sentimos los inconvenientes que esto te pudiera haber ocasionado. ¿Nos podrías indicar si el producto es vendido por Amazon o por uno de nuestros vendedores externos? ^KA,"[('customer', '¿Qué os parece el nuevo Samsung Galaxy S5? En Amazon ya lo tenemos en preventa. http://t.co/Bz3LiREHRF'), ('customer', '@116928 @116928 si compráis el móvil igual luego os envían un calcetín. Yo compré un foco y me enviaron una visera'), ('brand', '@811646 Sentimos los inconvenientes que esto te pudiera haber ocasionado. ¿Nos podrías indicar si el producto es vendido por Amazon o por uno de nuestros vendedores externos? ^KA'), ('customer', 'Ya os e contestado en otro Tweet'), ('brand', '@811646 Gracias, estaremos respondiéndote en el otro Tweet. ^DA')]",2014-02-25 10:00:26+00:00
530811,"#RecomiendaUnLibro ¿Qué cuento hizo que vivieras en el engaño, pero feliz, durante toda tu infancia?","#RecomiendaUnLibro ¿Qué cuento hizo que vivieras en el engaño, pero feliz, durante toda tu infancia?",@397265 ¿Podrías indicarnos si el producto es vendido y gestionado por Amazon o por un vendedor externo? ^VL,@397265 ¿Podrías indicarnos si el producto es vendido y gestionado por Amazon o por un vendedor externo? ^VL,"[('customer', '#RecomiendaUnLibro ¿Qué cuento hizo que vivieras en el engaño, pero feliz, durante toda tu infancia?'), ('customer', '@116928 la ""entrega en un día"" de amazon premium prueba gratis un mes. Desde el Martes esperando mi paquete.. Seur os toma a broma no?'), ('customer', '@397266 @116928 Realice el pedido el 11 de julio, sigue sin llegar, ni poder iniciar una reclamación; anulais la fecha el día antes de la entrega; q hago? https://t.co/kMMAML5KZw'), ('brand', '@397265 ¿Podrías indicarnos si el producto es vendido y gestionado por Amazon o por un vendedor externo? ^VL'), ('customer', 'Os añado la foto porque en ella figura el nombre del vendedor; Amazon EU s.a.r.l https://t.co/zdOT8gUHPA'), ('brand', '@397265 ¿Has intentado contactar con nuestro Equipo de Servicio al Cliente? Ellos te pueden ayudar a revisar tu pedido ^VL'), ('customer', '@116928 Hola, a través de que medio puedo ponerme en contactos con vosotros por un producto dañado que está en garantía?'), ('brand', '@493962 Claro Rosi, por favor contactanos a través de este enlace: https://t.co/OjvUxwnzPe . ^MB'), ('customer', 'El producto del que quiero hacer la consulta solo tiene dos opciones en el enlace que me envías y ninguna sirve para averías, otra poción?'), ('brand', '@493962 Selecciona la opción que más se asimile al problema que has tenido, y después elige la opción de contacto deseada. ^AZ'), ('customer', '😅 no es por ser insistente... pero entre “escribir una opión sobre el producto” y “ocultar pedido” ... cuál sería la que más se asemeja?'), ('brand', '@493962 Rosi, puedes seleccionar las opciones que ves en la imagen adjunta. ^LG https://t.co/JFI4hhcghb'), ('customer', 'Gracias, María José me ha ayudado a la perfección. Buen día!!'), ('brand', '@493962 Nos alegra mucho saberlo, recuerda que estamos para ayudarte en lo que necesites. ^HC'), ('customer', '@116928 A mi sí que me habéis engañado! Devolvedme mi tablet o los 182€ que pagué! Quiero una solución YA!!!'), ('customer', '@397265 Vuestro servicio de at. al cliente es una vergüenza, no volveré a confiar en vosotros, me la habéis jugado. Quiero mi tablet o mis 182€!!'), ('brand', '@397054 Hola Javi. ¿Nos podrías dar más detalles de tu caso? ^JJ'), ('customer', '@116928 buenas tardes. Recibí un pedido recientemente pero su servicio está incompleto. Como puedo saber a que es debido?'), ('brand', '@728532 Hola Jorge, ¿recibiste un pedido incompleto? De ser así, ¿era gestionado por Amazon o por un vendedor independiente? ^KS'), ('customer', 'Por ustedes. No es el pedido, sino el servicio. Donde puedo saber Que pasó?'), ('brand', '@728532 Sin brindar información personal dinos, ¿qué ha sucedido? ^KS'), ('customer', 'Pedí que se envolviera para regalo más tarjeta rellena con mensaje. De esto último hicieron caso omiso ( pero si tenían constancia )'), ('brand', '@728532 Lamento el inconveniente, puedes contactar con Servicio al Cliente en el siguiente enlace: https://t.co/KyKcfqiS0j. ^KS'), ('customer', '@116928 Yo reserve el juego ww2 que sale el viernes 3 en agosto. Me tienen que dar una ficha de PX2. Esa ficha llegara el dia 3,antes...? Gracias'), ('brand', '@446846 Hola. El código será enviado por correo electrónico una vez entregado el pedido Para más información: https://t.co/IdfJb8kmL1 ^CR'), ('customer', 'Gracias,👍'), ('brand', '@446846 Con gusto, Javier, ¡estamos para ayudar! ^CR'), ('customer', '@116928 mmmm La Cenicienta, pensaba que todas encontraríamos un príncipe azul para toda la vida! que años de inocencia! https://t.co/ybScHUrebr'), ('brand', '@468219 Una historia inolvidable, Laly ☺️ ^LG'), ('customer', 'siii pero 4 décadas después y 20 años de casada... aún sigo dejando el zapato a ver si viene mi príncipe jajjaja https://t.co/b0lPo4Iv7J'), ('brand', '@468219 Los príncipes de la vida real son algo diferentes, lo verdaderamente importante es que tienes un amor real y hermoso❤️. ^AZ'), ('customer', 'Siii 20 años juntos en las buenas y malas! Y una hija adorable! 😘👏👏'), ('brand', '@468219 Esas son las historias de amor que adoro 🤗❤️, son una hermosa familia. ¿Tu hija es amante de Cenicienta? ^AZ https://t.co/M13q4d4VUz'), ('customer', 'Que vaaa tiene 14 años y es youtuber😂😂natalia pintado tiene mas fans que yo😥'), ('brand', '@468219 😊 Esperamos que tu hija logre muchas cosas con sus vídeos, Laly. ^LG'), ('customer', 'Graciasss lo hace porque le gusta nada mas le ofrecieron ser influencer pero no quiere🤣buen finde!'), ('brand', '@468219 Se convertirá en toda una princesa moderna, Laly 👑 ¡Saludos! ^LG'), ('customer', '@116928 El cuento de que te vendo un producto, no te llega, te digo que es un problema de correos y el dia anterior ya habías hecho el reembolso. Para mas inri lo quito de tus compras para qe no puedas opinar. #hayquetenerpocavergüenza'), ('brand', '@821082 ¡Hola!, ¿nos podrías dar más detalles sobre lo que te sucedió?. ^DS'), ('customer', 'Te lo vuelvo a repetir. Hago un pedido, me sale devuelto. Llamo a atencion al cliente. No te preocupes, fallo de correos, el paquete te llegara. El dia anterior a la atencion telefonica, me devolveis el dinero. Ya he cancelado el premium y ahora cancelare la cuenta.'), ('customer', '@116928 Se me re-embolsa el pedido sin mi conocimiento y cuando llamo para preguntar por que, me piden que haga otro pedido a los nuevos precios perdiendo las ofertas que habia. Vaya cachondeo!!! El transportista ni llamo a mi puerta. El quien paga el pato soy yo'), ('brand', '@242942 Hola David, lamentamos lo sucedido. ¿Podrías comentarnos si el producto ha sido vendido y enviado por Amazon o bien por un vendedor externo? ^FZ'), ('customer', 'Sigo igual, hay dos vendidos por Amazon y uno gestionado por Amazon'), ('customer', 'El paquete fue reventado en el envío'), ('customer', 'Yo sigo sin el pedido ya que ha subido y me niego en pagar más'), ('customer', 'El SAT en España es lamentable'), ('customer', 'Any chance of sorting it out for me?'), ('customer', ""Bad show on Amazon's part making me &amp; my family lose out on Christmas gifts"")]",2014-04-23 13:21:02+00:00
526580,"GE MWF Refrigerator Water Filter, 1-Pack (Tools &amp; Home Improvement) tagged ""refrigerator"" 31 times: ... http://t.co/HTPXP3PZbk","GE MWF Refrigerator Water Filter, 1-Pack (Tools &amp; Home Improvement) tagged ""refrigerator"" 31 times:           ... http://t.co/HTPXP3PZbk","@241861 Hi, was this ordered from Amazon? If so, can you confirm which Amazon site? https://t.co/xJXEJlSnHC etc?^BZ","@241861 Hi, was this ordered from Amazon? If so, can you confirm which Amazon site? https://t.co/xJXEJlSnHC etc?^BZ","[('customer', 'GE MWF Refrigerator Water Filter, 1-Pack (Tools &amp; Home Improvement) tagged ""refrigerator"" 31 times: ... http://t.co/HTPXP3PZbk'), ('customer', ""@241863 @115821 Don't buy Samsung refrigerator After sales service is very poor Facing issues last one month Amit 956028799""), ('customer', '@241862 @241863 @115821 @68228 Ref no 7410565781 complaint - such international brand but worst customer service whom to call please tell just in 5 month Refrigerator gone bad'), ('brand', '@241861 Hi, was this ordered from Amazon? If so, can you confirm which Amazon site? https://t.co/xJXEJlSnHC etc?^BZ')]",2014-06-28 02:46:18+00:00
1331829,The Eye of the Lamb.. http://t.co/g5oOziFOOX,The Eye of the Lamb.. http://t.co/g5oOziFOOX,@430713 I'm very sorry to hear this. Have you chatted with our Customer Service to go over options: https://t.co/hApLpMlfHN? ^JM,@430713 I'm very sorry to hear this. Have you chatted with our Customer Service to go over options: https://t.co/hApLpMlfHN? ^JM,"[('customer', 'The Eye of the Lamb.. http://t.co/g5oOziFOOX'), ('customer', '&gt; 👀 “Look, today I am giving you the choice between a blessing and a curse!"" http://t.co/A40Reb375B'), ('customer', '&gt; “Enter by the narrow gate; for wide is the gate and broad is the way that leads to destruction..."" http://t.co/qlZ61m514l'), ('customer', '&gt; “No one after lighting a lamp puts it in a cellar or under a basket, but on a stand, so that..."" http://t.co/PuGpVHfCJ4'), ('customer', ""⭕️H 👀.. My olive oil lamp arrived at my gate this morning. Found the UPS package as I went to unlock gate for a hay delivery for my 🐎 🐎's 👀 https://t.co/4JriRPapr2""), ('customer', ""Bought 3 big boxes, 2 were opened with a small narrow box inside. 1️⃣box said 'For You' ➕1 stick. Other had 2 sticks https://t.co/iDlhYQf7ge""), ('customer', 'Purchased through @115821. The packages were opened tampered with, additional items inserted and then shipped to me. Reprehensible QC❗️'), ('brand', ""@430713 I'm very sorry to hear this. Have you chatted with our Customer Service to go over options: https://t.co/hApLpMlfHN? ^JM""), ('customer', 'It’s not the Value of the items I bought, it’s rather what the tampered with boxes may have contained. Now I do business with @127271')]",2015-03-28 22:47:32+00:00
648407,@115821 what in the world is a balance withheld? #customerservice doesnt seem to know!,@115821  what in the world is a balance withheld?  #customerservice doesnt seem to know!,"@274086 Sorry, I'm not quite sure what you're having trouble with. Was there an authorization you were wondering about? ^JY","@274086 Sorry, I'm not quite sure what you're having trouble with. Was there an authorization you were wondering about? ^JY","[('customer', '@115821 what in the world is a balance withheld? #customerservice doesnt seem to know!'), ('brand', ""@274086 Sorry, I'm not quite sure what you're having trouble with. Was there an authorization you were wondering about? ^JY""), ('customer', 'here this on my gift card activity balance hold and balance withheld. http://t.co/R3c5NVmMuP'), ('customer', '@274086 Did you ever get that sorted out cause I have the same thing sheesh'), ('customer', '@274087 Yes I did. I guess the person who gave me the gift card reported that it wasn’t a purchase they did. So it was nice being scammed.'), ('customer', '@274086 Thanks do you still have your account or did Amazon close it'), ('customer', '@274087 Why would they close it?'), ('customer', ""@274086 I don't know I saw on a forum that they closed the account on others it happened so I'm preparing for the worst. Thank you for being helpful""), ('customer', '@274087 Ouch that sucks. No my account is still going. I called them.')]",2015-06-13 01:34:49+00:00
369267,@115821 a friend of mine bought my book and wrote a review but it doesn't say VERIFIED PURCHASE. Will you please help me fix this? Thanks!,@115821 a friend of mine bought my book and wrote a review but it doesn't say VERIFIED PURCHASE. Will you please help me fix this? Thanks!,"@203483 We generally send an e-mail asking for a review, did your friend try to submit his review through this process? ^AF","@203483 We generally send an e-mail asking for a review, did your friend try to submit his review through this process? ^AF","[('customer', ""@115821 a friend of mine bought my book and wrote a review but it doesn't say VERIFIED PURCHASE. Will you please help me fix this? Thanks!""), ('brand', '@203483 We generally send an e-mail asking for a review, did your friend try to submit his review through this process? ^AF'), ('customer', ""Here's why it matters: I need verified reviews to book online promotional services in advance of my eBook release in Aug. Thx.""), ('brand', '@203483 The book has to be purchased on our website before it will recognize it as a verified purchase: http://t.co/nUhMFbD0nN ^AF'), ('customer', ""That's exactly what she did. Bought it from Amazon / posted the review. But not thru your email to her. She posted via website.""), ('brand', '@203483 Sorry, we would be unable to change this as it is an automatic feature done through email.^CD'), ('customer', 'Can she delete her review &amp; resubmit it when she receives follow-up email from Amazon? How long after purchase is email sent?'), ('customer', 'How long after a book purchase does Amazon send a follow-up email requesting a rating/review? I need it to say VERIFIED PURCHASE'), ('customer', '@203483 I am amazon SEO Expert ( wishlist, giftlist, shopping list, review, votes and Q&amp;A ). If you want than you can add my. Skype : basudev708')]",2015-06-26 19:37:06+00:00
2933545,i bookd a fostelo women's handbag on 4july bt still it is not delvrd expctd date ws 13july http://t.co/1IEAVE9esC,"@AmazonHelp i bookd a fostelo women's handbag on 4july bt still it is not delvrd 
expctd date ws 13july http://t.co/1IEAVE9esC","@132991 We would like to help you, Prakhar. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. -Bikram","@132991 We would like to help you, Prakhar. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly.
Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. -Bikram","[('customer', ""i bookd a fostelo women's handbag on 4july bt still it is not delvrd expctd date ws 13july http://t.co/1IEAVE9esC""), ('customer', '@811202 i think u should cancel your order arpit and book another on Flipkart. It will deliver ur order in 2-3 working day'), ('brand', ""@132991 We would like to help you, Prakhar. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. -Bikram"")]",2015-07-14 16:04:42+00:00
130747,1/ @115850 Are you guys leaking email ids of user who applied for Amazon BTS offer?My bro got this spam email: http://t.co/6YtfYm0aLN,1/ @115850 Are you guys leaking email ids of user who applied for Amazon BTS offer?My bro got this spam email: http://t.co/6YtfYm0aLN,@145514 Our customers' security is our utmost important concern &amp; we take all necessary steps to safe guard their info. I assure you. ^AN,@145514 Our customers' security is our utmost important concern &amp; we take all necessary steps to safe guard their info. I assure you. ^AN,"[('customer', '1/ @115850 Are you guys leaking email ids of user who applied for Amazon BTS offer?My bro got this spam email: http://t.co/6YtfYm0aLN'), ('brand', ""@145514 Our customers' security is our utmost important concern &amp; we take all necessary steps to safe guard their info. I assure you. ^AN""), ('customer', '@115850 ur __email__ seems not working so attaching the proof of mail sent here: #BTSOfferSCAM http://t.co/PFHFyLowFj'), ('customer', '@145514 @115850 https://t.co/iVeZgEFtAo')]",2015-07-17 13:53:02+00:00
